age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
44,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
22,State-gov,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
29,Local-gov,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,42,United-States,<=50K
22,Local-gov,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,50,United-States,<=50K
50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
32,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,Unknown,>50K
39,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,42,United-States,<=50K
17,Private,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
28,Private,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,14,United-States,<=50K
35,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Private,14,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,38,United-States,>50K
76,Unknown,9,Widowed,Unknown,Not-in-family,White,Female,0,0,25,United-States,<=50K
40,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
37,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
35,Self-emp-not-inc,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,10,Never-married,Handlers-cleaners,Own-child,Other,Male,0,0,40,Other,<=50K
26,Self-emp-inc,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
65,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,>50K
45,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
21,Unknown,6,Never-married,Unknown,Unmarried,White,Female,0,0,30,United-States,<=50K
52,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
52,Federal-gov,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Unknown,10,Never-married,Unknown,Not-in-family,Other,Male,99999,0,50,Other,>50K
59,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K
36,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
41,Private,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
42,Private,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
26,Private,9,Separated,Other-service,Unmarried,White,Female,0,0,39,United-States,<=50K
28,Unknown,10,Divorced,Unknown,Own-child,White,Female,0,0,20,Unknown,<=50K
28,Private,9,Never-married,Prof-specialty,Unmarried,Black,Male,0,0,40,United-States,<=50K
27,Private,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,Other,<=50K
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,10,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,Other,<=50K
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
23,Private,5,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,36,United-States,<=50K
26,Private,9,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
20,Private,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
47,Private,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
33,Private,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States,<=50K
51,Private,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
51,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,35,Other,<=50K
19,Private,8,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
49,State-gov,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
34,Federal-gov,10,Divorced,Protective-serv,Own-child,White,Male,0,0,72,United-States,<=50K
57,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K
77,Unknown,14,Divorced,Unknown,Not-in-family,White,Male,0,0,45,United-States,<=50K
38,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,<=50K
31,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
24,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States,>50K
19,Private,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K
